Buy Now,Comprar Ahora
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor introduce una dirección de email válida, separado por comas. Por ejemplo johndoe@domain.com, johnsmith@domain.com."
Last Added Items,Últimos Artículos Añadidos
Are you sure you would like to remove this item from the wishlist?,¿Estás seguro de querer quitar este artículo de la Wishlist?
Go to Wishlist,Ir a Wishlist
You have no items in your wishlist.,No tiene artículos en la wishlist.
RSS Feed,RSS Feed
Verification complete,Verificación completada
Log Out,Cerrar Sesión
Go to Shopping Cart,Ir a Bolsa
X,X
Select your options,Selecciona tus opciones
Don\'t have an account yet? Click here to ,¿Aún no tienes cuenta? Clic aquí para
Item(s),Artículo(s)
 added to cart, añadir a bolsa
Continue shopping,Continuar comprando
or,o
View cart & checkout,Ver bolsa y checkout
Add to cart,Añadir a la bolsa
DESIGNERS,DISEÑADORES
FEATURED DESIGNERS,DISEÑADORES DESTACADOS
DESIGNERS OF THE WEEK,DISEÑADORES DE LA SEMANA
ELITE UNIVERSE,UNIVERSO ELITE
EXCLUSIVE OFFERS,OFERTAS EXCLUSIVAS
Clear,Limpiar
 items found, artículos encontrados
View Items,Ver Artículos
Buy Credit,Comprar Crédito
Enter credit code: ,Introduce el código de crédito:
Buy credit,Comprar Crédito
Customer Credit,Crédito de Cliente
Please login to use customer credit.,Por favor inicia sesión para usar el crédito.
We are sorry that you can\'t use Store Credit,Sentimos que el crédito no puede ser utilizado
Store Credit cannot be used to purchase Store Credit products,No se podrá utilizar Crédito para adquirir productos de Crédito
Store Credit cannot be used to purchase Store Credit products ,No se podrá utilizar Crédito para adquirir productos de Crédito
Your current credit Balance is ,Tu Balance de crédito actual es
Enter a credit amount if you want to pay by Customer Credit,Introduce la cantidad de crédito que quieres utilizar
Gift Card Credit,Tarjeta Regalo
Please enter a number smaller than or equal to ,Por favor introduce un número inferior o igual a
Apply,Aplicar
MY GIFT CARDS & STORE CREDIT: My Credit,MIS TARJETAS DE REGALO Y CRÉDITOS: Mi Crédito
All your ELITE MONEY,Todo tu DINERO ELITE
Store Credit,Crédito
Transactions History,Historial de Transacciones
Transaction Type,Tipo de Transacción
Transaction Details,Detalles de la Transacción
Added/Deducted,Añadido/Deducido
Credit Balance,Balance del Crédito
No record found,Ningún registro encontrado
Use Customer Credit to check out (,Usa el Crédito para realizar el checkout (
 available ), Disponible )
You\'re using:,Estas usando:
Please enter a number smaller than,Por favor introduce una cantidad inferior a
Please ,Por favor
login,Registrate
 to use customer credit., para usar el crédito.
Credit Value,Valor del Crédito
Enter Credit Value,Introduce Valor del Crédito
Select Credit Value:,Selecciona Valor del Crédito:
Store Credit value:,Valor del Crédito:
Enter Amount:,Introduce Cantidad:
Credit Rate: ,Tasa del Crédito:
Credit Value: ,Valor del Crédito:
Send credit to friend,Enviar crédito a un amigo
Sender name (optional),Nombre del remitente (opcional)
Recipient name,Nombre del destinatario
Recipient email address,Email del destinatario
Custom message,Mensaje customizado
You cannot send credit to yourself.,No se puede enviar crédito a uno mismo.
ADD A GIFT CARD TO YOUR ACCOUNT:,AÑADE UNA TARJETA REGALO A TU CUENTA:
Enter your code here: ,Introduce aquí tu código:
How to redeem a gift card,Cómo canjear una tarjeta regalo
Redeem credit,Canjear crédito
submit,enviar
Reset Filter,Resetear Filtro
dateinput,entrada de fecha
There are no items matching this selection.,No hay artículos que coincidan con la selección.
Send Credit to friends,Enviar Crédito a amigos
Enter verification code from your email:,Introduce código de verificación de email:
Submit Code,Enviar código
Credit Code List,Lista de Códigos
Send Credit To Friend,Enviar Crédito a Amigos
Recipient's Email,Email del Destinatario
Loading...,Cargando...
This email is an account email in this store!,¡Existe una cuenta con este email!
You can\'t share credit for yourseft !,¡No puede compartir crédito con uno mismo!
Your friendâ€™s email does not exist in the System. So your friend will receive credit via his/her email.,El email de tu amigo no existe en el Sistema. Por lo que recibirá el crédito por email.
Amount to Send,Cantidad a Enviar
Your maximum credit is,Tu crédito máximo es
Please enter a smaller number than this,Por favor introduce una cantidad inferior
Send,Enviar
Send Credit To Friends,Enviar Crédito a amigos
YOUR CURRENT BALANCE IS:,TU BALANCE ACTUAL ES:
Buy store credit,Comprar crédito
Customer Custom Page,Página Personalizada Cliente
Get notified!,¡Se notificado!
Subscribe to receive an email as soon as this product become available again!,¡Suscribete para recibir un email cuando vuelva a estar disponible el artículo!
Enter your email address,Introduce tu dirección de email
Sign up to be notified when this product is back to stock,Registrate para que se te notifique cuando este artículo vuelva a estar disponible
Go to product\'s page now!,¡Ir a la página de producto!
Autoresponders Subscription,Autorespuesta a Suscripción
Rate,Tasa
You were successfully removed from list.,Has sido eliminado con éxito de esta lista.
Thank you,Gracias
Image,Imagen
Confirm,Confirmar
Not a valid e-mail address,Dirección de email no válido
WELCOME TO OUR ,BIENVENIDO A NUESTRO
 PROGRAM, PROGRAMA
Points redeemable for valuable rewards,Puntos canjeables por recompensas
See how your points balance grows with every purchase of ELITESTOREÂ®! ,Ver como aumenta tu balance de puntos con cada adquisición en ELITESTORES!
You will get a reward of ,Obtendrás una recompensa de
Early access to exclusive ELITESTOREÂ® sets for VIP members,Acceso exclusivo para Miembros VIP de ELITESTORES
Being ELITESTOREÂ® VIP offers you the opportunity to buy exclusive sets before anyone else.,Ser VIP de ELITESTORES te ofrece la oportunidad de realizar compras exclusivas antes de los demás.
Exclusive gifts for VIP members and more,Regalos exclusivos para miembros VIP y más
VIP members enjoy access to special promotional gifts throughout the year.,Miembros VIP disfrutarán de regalos promocionales especiales a lo largo del año.
Monthly promotions,Promociones mensuales
"Earn bonus points each month buying selected ELITESTOREÂ® sets, both online and in stores.","Gana puntos cada mes comprando productos seleccionados en ELITESTORES, tanto online como en la tienda."
WHY AREN\'T YOU IN ELITESTORE VIP GROUP,POR QUÉ NO ESTAN EN EL GRUPO VIP DE ELITESTORE
ENJOY THE BENEFITS VIP,DISFRUTA DE TUS VENTAJAS VIP
Worldwide Express Shipping,Envío Global Exprés
Select your country,Selecciona tu país
Created by,Creado por
Size:,Talla:
Back to My Orders,Volver a Mis Pedidos
Department,Departamento
SHOP,COMPRAR
for HER,para ELLA
for HIM,para EL
for KIDS,para NIÑOS
WOMEN,MUJER
MEN,HOMBRE
KIDS,NIÑOS
CLOTHING,ROPA
SHOES,ZAPATOS
BAGS,BOLSOS
ACCESSORIES,ACCESORIOS
Designers A-Z,Diseñadores A-Z
Designers,Diseñadores
+ TO MY FAVOURITES DESIGNERS,+ A MIS DISEÑADORES FAVORITOS
Featured Manufacturers,Fabricantes Destacados
All Designers,Todos los Diseñadores
New Designer,Nuevo Diseñador
Featured Designers,Diseñadores Destacados
See All,Ver Todo
See all,Ver todo
THE,EL
ICONS,ICONO
Runway Pieces,Piezas de Pasarela
Get Hooked!,Newsletter
"Sign up for our fashion news, trend alerts, exclusive promos and more","Registrate para recibir nuestras noticias de moda, alertas de tendencias, promociones exclusivas y más"
your first purchase!,¡tu primera compra!
SIGN UP,Registrate
Already have an account?,¿Tienes ya una cuenta?
Sign in,Iniciar sesión
*Terms and conditions apply,*Términos y condiciones aplicables
SIGN UP FOR ELITE FASHION NEWS,SUSCRIBETE PARA NOTICIAS DE MODA DE ELITE
First Name,Nombre
Last Name,Apellido
Email address already registered. ,Dirección de email ya registrado.
Invalid email address.,Dirección de email inválido.
Street Address,Dirección de Calle
Street Address ,Dirección de Calle
Street Address,Dirección de Calle
Create an account for later use,Crear una cuenta para uso posterior
Confirm password,Confirmar contraseña
Back to homepage,Volver a página de inicio
"You need to have products in your cart to checkout, and your cart is empty.","Tienes que tener productos en la bolsa para ir al checkout, y tu bolsa está vacía."
Already registered? Click here to login.,¿Ya estás registrado? Clic aquí para iniciar sesión.
Billing address,Dirección de facturación
Please check red fields below and try again.,Por favor comprueba los campos de red y vuelve a intentarlo.
Ship to the same address,Enviar a la misma dirección
Shipping address,Dirección de envío
Please choose a shipping method.,Por favor selecciona un método de envío.
Shipping method,Método de envío
Please choose a payment method.,Por favor selecciona un método de pago.
Please enter valid details below.,Por favor introduce detalles válidos.
Payment method,Método de pago
Review your order,Revisar pedido
Coupon code:,Código de cupón:
Please enter a valid coupon code.,Por favor introduce un código cupón válido.
giftcard code:,código de tarjeta regalo:
Apply gift card,Aplicar tarjeta regalo
Cancel gift card,Cancelar tarjeta regalo
Please enter a valid giftcard code.,Por favor introduce una tarjeta regalo válido.
Comments,Comentarios
Subscribe to our newsletter,Suscribirse a nuestro newsletter
How did you hear about us?,¿Cómo nos has conocido?
Please choose,Por favor elige
Other,Otro
Please specify:,Por favor especifica:
I accept the,Yo acepto los
Terms and Conditions,Términos y Condiciones
You must accept our terms to continue.,Debe aceptar nuestros términos y condiciones para continuar.
Please agree to all the terms and conditions before placing the order.,Por favor acepte nuestros términos y condiciones antes de crear un pedido.
Place order now,Crear un pedido ahora
Email address already registered. Please,Dirección de email ya registrado. Por favor
This is a required field.,Este campo es obligatorio.
"Please wait, processing your order...","Por favor espera, se esta procesando tu pedido..."
Use Store Credit,Utiliza Crédito
available,disponible
Add a gift message to my order,Añadir un mensaje de regalo a mi pedido
Forgotten your password?,¿Has olvidado tu contraseña?
Enter your email below and we\'ll send you a new password by email.,Introduce tu email y te enviaremos un correo con la contraseña.
We have now sent you a new password to your email address. Click the link below to return to login.,Te hemos enviado una contraseña nueva a tu dirección de email. Clic aquí para volver a iniciar sesión.
Email address,Dirección de email
Send password,Enviar contraseña
Return to login,Volver a iniciar sesión
Please login with your email address and password.,Por favor inicia sesión con tu dirección de email y contraseña.
Please enter a valid email address,Por favor introduce una dirección de email válido.
Please enter a registered email address.,Por favor introduce una dirección de email registrada.
Edit more,Seguir editando
Enter your password,Introduce tu contraseña
"Use my reward points,","Usar mis puntos de fidelidad,"
Partial,Parcial
Grand total,Total
ADD TO WISHLIST,AÑADIR A WISHLIST
Select Size,Seleccionar Talla
ADD,AÑADIR
SEND MY WISHLIST,ENVIAR MI WISHLIST
Just fill the name and email of the person you wnat to share your wishlist with.,Introduce el nombre e email de la persona con la que quieres compartir tu wishlist.
"We'll send it for you directly from your account, so the recipient recognizes your name.","Te lo enviaremos directamente desde tu cuenta, para que el destinatario reconozca tu nombre."
Recipient's name (one at a time):,Nombre del destinatario (uno por uno):
Recipient's Email:,Email del Destinatario:
What do you want to add?:,¿Qué quieres añadir?
SEND,ENVIAR
Added to Wishlist,Añadido a la Wishlist
Remove from Wishlist,Eliminar de la Wishlist
ADD TO BAG,AÑADIR A LA BOLSA
REMOVE,ELIMINAR
Empty,Vacío
 Items on my wishlist, Artículos en mi wishlist
Click here to login,Clic aquí para iniciar sesión
View my wishlist,Ver mi wishlist
ORDER BY REQUEST,PRODUCTO BAJO PEDIDO
CONTACT CUSTOMER CARE,CONTACTAR CON ATENCIÓN AL CLIENTE
This item is not available at the moment but if you are interested in we can try to get it for you. Give us your contact details and inform you every step of the process as soon as possible.,Este artículo no está disponible en estos momentos pero si te encantaría tenerlo haremos todo lo posible para conseguirlo para ti. Sólo déjanos tus datos y te informaremos lo antes posible.
I prefer to be contacted by phone,Prefiero que me contacten por teléfono
SEND REQUEST?,¿ENVIAR SOLICITUD?
NEED MORE INFO?,¿NECESITAS MÁS INFORMACIÓN?
Subject,Asunto
Drop us a line,Danos un toque
SEND TO A FRIEND,ENVIAR A UN AMIGO
Your Name,Tu Nombre
Friend's Name,Nombre de Amigo
Friend's Email,Email de Amigo
Personal Message,Mensaje Personal
Your Email,Tu Email
SHARE ITEM,COMPARTIR ARTÍCULO
Share via Email,Compartir por Email
Hello,Hola
Sign OUT,Salir
sign IN,Iniciar sesión
Ms,Srta
Ms.,Srta.
Mrs,Sra
Mrs.,Sra.
Mr,Sr
Mr.,Sr.
FIRST NAME*,NOMBRE*
LAST NAME*,APELLIDO*
EMAIL ADDRESS*,DIRECCIÓN DE EMAIL*
PASSWORD*,CONTRASEÑA*
CONFIRM PASSWORD*,CONFIRMAR CONTRASEÑA*
* Required fields,* Campos requeridos
receive,recibir
I\'d love to receive ELITE fashion news and exclusive offers via email,Me encantaría recibir las noticias de moda de ELITE y ofertas exclusivas por email
terms,términos
I agree to ELITE terms and Conditions and Privacy Policy,Acepto los Términos y Condiciones de ELITE y la Política de Privacidad
Click here to SIGN IN.,Clic aquí para INICIAR SESIÓN.
BENEFITS OF HAVING AN ELITE ACCOUNT,BENEFICIOS DE TENER UNA CUENTA ELITE
Faster checkout,Checkout más rápido
"Orders status, tracking and history","Estado de pedido, seguimiento e historial"
"My wishlist, you can add all the goodies you fell for to","Mi wishlist, puedes añadir todos los artículos que te han cautivado"
"My fave designer list with ""just arrived"" email alerts","Mi lista de diseñadores favoritos con emails de alerta con los recién llegados"""""
Fashion news and exclusive offers via email,Noticias de moda y ofertas exclusivas por email
Sign In,Iniciar sesión
Already REGISTERED? Please SIGN IN here,¿Estas ya REGISTRADO? Por favor INICIA SESIÓN aquí
EMAIL ADDRESS,DIRECCIÓN DE EMAIL
PASSWORD,CONTRASEÑA
Remember me,Recordarme
Please enter your email address below.,Por favor introduce tu dirección de email.
We\'ll send you a link to reset your password.,Te enviaremos un enlace para resetear tu contraseña.
Back to SIGN IN,Volver a INICIAR SESIÓN
SIZE GUIDE,GUÍA DE TALLAS
Size chart,Tabla de tallas
(Please notice that is a guide only and that measurements many vary according to brand and style),(por favor ten en cuenta que esto es sólo una guía y que las medidas pueden variar según la firma y modelo)
Need help with sizing?,¿Necesitas ayuda con la talla?
Contact us,Contacta con nosotros
Error,Error
The requested Survey category could not be found!,¡La categoría de Encuesta solicitada no pudo ser encontrada!
Surveys categories,Categorías de encuesta
Categories list,Lista de categorías
There are no Survey categories to display.,No hay categorías de Encuesta para mostrar.
My Surveys,Mis Encuestas
Passed,Pasado
Survey name,Nombre de encuesta
You have not passed any survey.,No has pasado ninguna encuesta.
Start,Iniciar
The requested survey could not be found!,¡La encuesta solicitada no se ha podido encontrar!
Surveys list,Lista de encuestas
There are no surveys to display.,No hay encuestas para mostrar.
Questions,Preguntas
Survey Information,Información de Encuesta
Name: ,Nombre:
Description: ,Descripción:
Survey performed on: ,Encuesta realizado sobre:
Messages,Mensajes
Received On,Recibir En
View Message,Ver Mensaje
There are no notifications at this moment,No hay notificaciones en este momento
Notifications,Notificaciones
Support Tickets,Tickets de soporte
Requested,Solicitado
Updated,Actualizado
You dont have any tickets,No tienes ningún ticket
My Tickets,Mis Tickets
Open Ticket,Ticket Abierto
Read More,Leer Más
Available Colours,Colores Disponibles
Available Sizes,Tallas Disponibles
SOMEONE TOOK ALL STOCKS,ALGUIEN SE LLEVÓ TODAS LAS EXISTENCIAS
"Unfortunately , we could not find the page you're looking for . You can take a look at our editorials , the recommendations we have for you , or purchase by category or designer on the links below .","Desgraciadamente, no hemos podido encontrar la página que estas buscando. Puedes echarle un vistazo a nuestras editoriales, las recomendaciones que tenemos para ti, o comprar por categoría o enlaces de diseñadores."
By,Por
ITEM DETAILS,DETALLES DE ARTÍCULOS
COMPOSITION,COMPOSICIÓN
SHIPPING,ENVÍOS
SHIPPING RESTRICTIONS,RESTRICCIONES DE ENVÍO
EASY RETURNS,DEVOLUCIONES FÁCILES
NEED MORE INFO?,¿NECESITAS MÁS INFORMACIÓN?
Share on Facebook,Compartir en Facebook
Tweet,Tweet
Pin it,Pin it
Share on Google Plus,Compartir en Google Plus
SELECT SIZE,SELECCIONA TALLA
UNICA,ÚNICA
DESCRIPTION,DESCRIPCIÓN
SHARE,COMPARTIR
Share on Weibo,Compartir en Weibo
Promo Code,Código Promocional
Size ,Talla
shopping-cart-table,Tabla de bolsa
Up,Subir
Down,Bajar
Remove from Bag,Quitar de Bolsa
ITEMS MY SHOPPING BAG,ARTÍCULOS MI BOLSA
Â· TOTAL ,A- TOTAL
You have no items in your shopping bag.,No hay artículos en tu bolsa.
View My Shopping Bag,Ver Mi Bolsa
Free shipping on orders of 500€ and over,Envío gratuitos en pedidos de +500€
Choose the desnation,Elige el destino
Change shipping and tax options,Cambiar opciones de envío e impuestos
Â·TOTAL ,TOTAL
My Shopping Bag,Mi Bolsa
Action,Acción
Ooops!,¡Ooops!
no signal here...,no hay señal...
Unable to tune to this channel.,No es posible sintonizar este canal.
Help,Ayuda
TERMS & CONDITIONS,TÉRMINOS Y CONDICIONES
PRICES & CURRENCY,PRECIOS Y MONEDA
PAYMENT METHODS,MÉTODOS DE PAGO
SHIPMENT INFORMATION,INFORMACIÓN DE ENVÍO
RETURN POLICY,POLÍTICA DE DEVOLUCIONES
CONTACT US,CONTACTA CON NOSOTROS
Terms & Conditions,Términos y Condiciones
"<p>GRAN CALIBRE S.L. with CIF ESB92889567  and headquarters in Conjutno Benabola 8, P.C. 29660, Puerto BanĂşs â€“ Marbella, Spain. Supplier of the services and activities available in the web store EliteStore.es<br><br>","GRAN CALIBRE S.L. con CIF ESB92889567 y sede en Conjunto Benabola 8, C.P. 29660, Puerto Banús, Marbella, Spain. Proveedor de los servicios y actividades disponibles en la web Elitesore.es"
Prices & Currencies,Precios y monedas
"<p>Published in Elitestore.es prices can be displayed in Euros, Pounds or Dollars, being able to change the desired currency at any time. However, invoice will be issued in Euros (â‚¬).","Publicado en Elistore.es los precios puede verse en Euros, Libras o Dólares, pudiendo cambiar de moneda en cualquier momento. No obstante la factura se emitirá en Euros."
Payment methods,Métodos de Pago
Shipment Information,Información de Envío
"<p>EliteStore.es ships worldwide with DHL, TNT and Nacex. <br>","Elitestore,es envía globalmente con DHL, TNT y Nacex. <br>"
Return Policy,Política de devoluciones
"<p>If for any reason clients are not satisfied with an order, the item(s) can be returned for size exchange, store credit or refund within 14 days of the merchandise\'s delivery date.","Si por alguna razón un cliente no esta satisfecho con su pedido, los artículos podrán ser devueltos, por un cambio, un vale de tienda, o un reembolso hasta 14 días tras la entrega del paquete."
Our Stores,Nuestras Tiendas
elite woman,Elite Mujer
"Benabola 8,","Benabola 8,"
"29660 Puerto BanĂşs, Marbella","29660 Puerto Banús, Marbella"
Phone: +34 952 812 621,Teléfono: +34 952 812 621
Hours:,Horas:
Mon-Sun: 11 AM - 10 PM (CET),Lun-Dom: 11 AM - 10 PM (CET)
View Shop Windows,Ver Escaparates
Get Directions,Conseguir Direcciones
 (Google Maps), (Google Maps)
elite man,Elite Hombre
Phone: +34 952 815 816,Teléfono: +34 952 815 816
elite accessories,Elite Accesorios
Phone: +34 952 813 906,Teléfono: +34 952 813 906
"Since 1987, we travel to the fashion meccas and beyond to bring our stylish customers","Desde 1987 viajamos a las mecas de la moda y más allá, para traerles a nuestros estilosos clientes"
"an exclusive, meticulously curated edit of both word's top established luxury designers","una exclusiva, y meticulosa selección tanto de los diseñadores de lujo y casas de moda"
"and fashion houses, and handpicked emerging talent we fell head over heels for.","más establecidos del mundo, como de talentos emergentes de los que nos hemos enamorado."
"If you plan to visit Puerto Banús, we would love to meet you personally in one of our",Si planea visitar Puerto Banús. Nos encantaría conocerte personalmente en alguno de nuestras
"stores. until then, let us invite you to a little virtual visit. Just about everything you see in","tiendas, mientras tanto, nos gustaría invitarte a una pequeña visita virtual. Prácticamente todo lo que ves en"
the pictures. is (or was) also available online.,las fotos están (o estaban) disponibles online.
Our Story,Nuestra Historia
"""Since 1987, we travel to the fashion meccas and beyond to bring our stylish customers an exclusive, meticulously curated edit of both world","""Desde 1987 viajamos a las mecas de la moda y más allá, para traerles a nuestros estilosos clientes una exclusiva, y meticulosa selección"
"""s top established luxury designers and fashion houses, and handpicked emerging talents we fell head over heels for.""","""tanto de los diseñadores de lujo y casas de moda más establecidos del mundo, como de talentos emergentes de los que nos hemos enamorado."""
"""lite stands for extraordinary multi-brand and multi-sensory shopping experience, excitement beyound clothing""","""lite se identifica con una experiencia de compra multi-marca y multi-sensorial, emoción más allá de la ropa"""
"""Due to the hight demand of our loyal international customers, we have launched our online store in 2011,""","""Debido a la elevada demanda de nuestros leales clientes internacionales, lanzamos nuestra tienda online en 2011,"""
""" are ever-changing, our concept""",""" somos siempre cambiantes, nuestro concepto"""
MY ACCOUNT,MI CUENTA
Welcome to your ELITE account,Bienvenido a tu cuenta ELITE
"From here you can manage your personal details, check the status and history of your orders, contact our customer care team, edit the list of the items and designers you love, and more.","Desde aquí puedes gestionar tus datos personales, comprobar el estado e historial de tus pedidos, contactar con nuestro equipo de atención al cliente, editar la lista de artículos y diseñadores que te encantan, y más."
Back to Dashboard,Volver a Mi cuenta
MY ADDRESS BOOK,MI AGENDA DE DIRECCIONES
"Your shipping & billing addresses, and saved payment details.","Tus direcciones de envío y facturación."
Add a shipping address,Añadir una dirección de envío
Default Address,Dirección por Defecto
Default Billing Address:,Dirección de Facturación por Defecto:
Default shipping address,Dirección de envío por defecto
Default billing address,Dirección de facturación por defecto
Default Shipping Address:,Dirección de Envío por Defecto:
Aditional Address,Dirección Adicional
MY ACCOUNT DETAILS,DETALLES DE MI CUENTA
Your Easy-to-Edit sign in information.,Edita facilmente tus datos de registro.
Confirm Email Address,Confirmar Dirección de Email
UPDATE ACCOUNT,ACTUALIZAR CUENTA
You are subscribed to our newsletter,Estás suscrito a nuestra newsletter
You aren't subscribed to our newsletter,No estás suscrito a nuestro newsletter
SAVE SUBSCRIPTION,GUARDAR SUSCRIPCIÓN
Account Sections,Secciones de Cuenta
Refine Search,Refinar Búsqueda
SHIPPING TO,ENVÍO A
GET HOOKED,NEWSLETTER
  STAY TUNED, SÍGUENOS
CUSTOMER CARE,ATENCIÓN AL CLIENTE
GIFT CARD,TARJETA REGALO
OUR STORES,OUR STORES
OUR STORY,OUR STORY
PRIVACY & LEGAL,LEGAL Y PRIVACIDAD
PRIVACY,PRIVACIDAD
COPYRIGHT,COPYRIGHT
NEW IN,NOVEDADES
ALL NEW SEASON,NUEVA TEMPORADA COMPLETA
WOMEN CLOTHING,ROPA DE MUJER
BOTTOMS,PARTES DE ABAJO
WOMEN BOTTOMS,PARTES DE ABAJO DE MUJER
JEANS,JEANS
JOGGERS,JOGGERS
LEGGINGS,LEGGINGS
PANTS,PANTALONES
SHORTS,SHORTS
SKIRTS,FALDAS
VIEW ALL,VER TODO
DRESSES,VESTIDOS
JUMPSUITS,MONOS
OUTERWEAR,PRENDAS DE ABRIGO
WOMEN OUTERWEAR,PRENDAS DE ABRIGO DE MUJER
BLAZERS,BLAZERS
CAPES,CAPAS
COATS,ABRIGOS
DOWN,PLUMAS
LEATHER & FUR,CUERO Y PIELES
JACKETS,CHAQUETAS
VESTS,CHALECOS
SWIMWEAR,ROPA DE BAÑO
TOPS,PARTES DE ARRIBA
WOMEN TOPS,PARTES DE ARRIBA DE MUJER
BLOUSES & SHIRTS,BLUSAS Y CAMISAS
KNITWEAR,PUNTO
SWEATSHIRTS & HOODIES,SUDADERAS Y CAPUCHAS
T-SHIRTS & TANKS,CAMISETAS
WOMEN SHOES,ZAPATOS DE MUJER
WOMEN BOOTIES & BOOTS,BOTINES Y BOTAS DE MUJER
FLATS,PLANAS
WOMEN FLATS,PLANAS DE MUJER
BALLERINAS,BAILARINAS
LACE-UPS,CON CORDONES
MOCASSINS & LOAFERS,MOCASINES
PUMPS,TACONES
SANDALS & MULES,SANDALIAS
SNEAKERS,ZAPATILLAS
WOMEN SNEAKERS,ZAPATILLAS DE MUJER
HIGH TOPS,ZAPATILLAS ALTAS
LOW TOPS,ZAPATILLAS BAJAS
SLIP-ONS,SIN CORDONES
WOMEN BAGS,BOLSOS DE MUJER
BACKPACKS,MOCHILAS
CLUTCHES,BOLSOS CLUTCH
SHOULDER & CROSSBODY,BANDOLERAS
TOP HANDLE,BOLSOS DE MANO
TOTES & SHOPPERS,TOTES
WALLETS & BAG ACCESSORIES,CARTERAS Y ACCESORIOS
WOMEN ACCESSORIES,ACCESORIOS DE MUJER
FASHION ACCESSORIES,ACCESORIOS DE MODA
WOMEN FASHION ACCESSORIES,ACCESORIOS DE MODA DE MUJER
BELTS,CINTURONES
HAIR ACCESSORIES,ACCESORIOS CABELLO
HATS,SOMBREROS Y GORRAS
JEWELRY,BISUTERÍA
KEYRINGS,LLAVEROS
SCARVES,BUFANDAS
SUNGLASSES,GAFAS DE SOL
WATCHES,RELOJES
HOME & GIFTS,HOGAR Y REGALOS
WOMEN HOME & GIFTS,HOGAR Y REGALOS MUJER
BOOKS,LIBROS
HOMEWARE,ACCESORIOS DE CASA
SEX TOYS,JUGUETES ERÓTICOS
SHOEHORNS,CALZADORES
UMBRELLAS,PARAGUAS
NICHE PERFUMES,PERFUMES SELECTOS
TECHNOLOGY,TECNOLOGÍA
WOMEN TECHNOLOGY,TECNOLOGIA MUJER
GADGETS,GADGETS
IPHONE CASES,FUNDAS DE IPHONE
IPAD CASES,FUNDAS DE IPAD
SALE,REBAJAS
MEN CLOTHING,ROPA DE HOMBRE
MEN BOTTOMS,PARTES DE ABAJO DE HOMBRE
MEN OUTERWEAR,PRENDAS EXTERIOR HOMBRE
BLAZERS & JACKETS,BLAZERS Y CHAQUETAS
DOWN JACKETS,PLUMA
SUITS,TRAJES
MEN TOPS,PARTES DE ARRIBA DE HOMBRE
POLOS & T-SHITS,POLOS Y CAMISETAS
SHIRTS,CAMISAS
UNDERWEAR,ROPA INTERIOR
MEN SHOES,ZAPATOS DE HOMBRE
BOOTS,BOTAS
LOAFERS & CAR SHOES,MOCASINES
SANDALS,SANDALIAS
MEN SNEAKERS,ZAPATILLAS DE HOMBRE
MEN BAGS,BOLSOS DE HOMBRE
OFFICE,MALETINES
POUCHES,BOLSOS DE MANO
TRAVEL & GYM,BOLSOS DE VIAJE Y GIMNASIO
MEN ACCESSORIES,ACCESORIOS DE HOMBRE
MEN FASHION ACCESSORIES,ACCESORIOS DE MODA DE HOMBRE
GLOVES,GUANTES
KEYRINGS & CHARMS,LLAVEROS
SOCKS,CALCETINES
TIES,CORBATAS
MEN HOME & GIFTS,HOGAR Y REGALOS HOMBRE
SKATEBOARDS,PATINETES
MEN TECHNOLOGY,TECNOLOGÍA HOMBRE
KIDS CLOTHING,ROPA DE NIÑOS
KIDS OUTERWEAR,PRENDAS EXTERIOR DE NIÑOS
OVERALLS & SETS,MONOS Y CONJUNTOS
VIEW ALL A-Z,VER TODAS DE A-Z
FRIVOLIDAYS,FRIVOLIDAYS
INSTANTLY ELITE,INSTANTÁNEAMENTE ELITE
OUTLET,OUTLET
MY ORDERS,MIS PEDIDOS
Check the status of your current order. View your order history.,Comprobar el estado de tu pedido actual. Ver historial del pedido.
You haven't placed any order yet.,No has creado ningún pedido aún.
Designer,Diseñador
ONLY 1 LEFT,SOLO QUEDA 1
"All of your favourite items in on place. Add new ones now, shop or share later.","Todos tus artículo favoritos en un único lugar. Añade nuevos artículos ahora, comprar o compartir más adelante."
Your Wishlist is currenty empty.,Tu Wishlist está actualmente vacía.
Would you love to see your favourite items all together here? Just click on the,¿Te gustaría ver todos tus artículos favoritos juntos? Solo pincha sobre el
symbol in the product catalogue or the page of the item you love.,símbolo en el catálogo de productos o en la página del artículo que te encante.
"Once created, you'll be able to keep track of the availability, edit or shop your wishlist anytime, and share it with your family and friends.","Una vez creado, podrás hacer un seguimiento de la disponibilidad, editar, o comprar tu lista de deseos en cualquier momento, y compartir con tu familia y amigos."
Sort,Ordenar
You May Also Like,También Te Puede Gustar
View Gallery,Ver Galería
Tell a Friend,Decírselo a un amigo
Email to Friend,Enviar Email a un Amigo
Your order has been received,Tu pedido ha sido recibido
Page,Página
Language,Idioma
Selected Store,Tienda Seleccionada
Customer Information,Información de Cliente
Update Order Data,Actualiza Información de Pedido
Already registered? Please log in below:,¿Estás ya registrado? Por favor inicia sesión:
Billing Agreement,Acuerdo de Facturación
Go,Ir
Newsletter Sign-up:,Suscripción al Newsletter:
Free Shipping on orders over 500,Envíos gratuitos en pedidos superiores a 500
Filter,Filtro
Results per page,Resultados por página
Share Facebook,Compartir Facebook
